"filename", "language", "HTML", "JavaScript", "CSS", "YAML", "comment", "blank", "total"
"c:\dev\tickets-new\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 31, 0, 8, 39
"c:\dev\tickets-new\assets\css\reservation.css", "CSS", 0, 0, -2, 0, 0, 0, -2
"c:\dev\tickets-new\assets\js\admin-scan.js", "JavaScript", 0, 8, 0, 0, 1, 2, 11
"c:\dev\tickets-new\assets\js\admin-settings.js", "JavaScript", 0, 8, 0, 0, 1, 4, 13
"c:\dev\tickets-new\assets\js\admin.js", "JavaScript", 0, -23, 0, 0, -5, -2, -30
"c:\dev\tickets-new\assets\js\auth.js", "JavaScript", 0, 8, 0, 0, 1, 3, 12
"c:\dev\tickets-new\assets\js\config.js", "JavaScript", 0, 12, 0, 0, 1, 3, 16
"c:\dev\tickets-new\assets\js\custom-dialog.js", "JavaScript", 0, 202, 0, 0, 2, 25, 229
"c:\dev\tickets-new\assets\js\logs-main.js", "JavaScript", 0, 8, 0, 0, 1, 4, 13
"c:\dev\tickets-new\assets\js\offline-sync-v2.js", "JavaScript", 0, 8, 0, 0, 1, 3, 12
"c:\dev\tickets-new\assets\js\reservation-status.js", "JavaScript", 0, 8, 0, 0, 1, 4, 13
"c:\dev\tickets-new\assets\js\reservation.js", "JavaScript", 0, 60, 0, 0, 3, 9, 72
"c:\dev\tickets-new\assets\js\seats-main.js", "JavaScript", 0, 8, 0, 0, 0, 2, 10
"c:\dev\tickets-new\assets\js\sidebar.js", "JavaScript", 0, 18, 0, 0, 0, 2, 20
"c:\dev\tickets-new\assets\js\timeslot-main.js", "JavaScript", 0, 4, 0, 0, 0, 0, 4
"c:\dev\tickets-new\assets\js\walkin-main.js", "JavaScript", 0, 4, 0, 0, -1, 1, 4
"c:\dev\tickets-new\index.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\dev\tickets-new\pages\admin-login.html", "HTML", 5, 0, 0, 0, 0, 0, 5
"c:\dev\tickets-new\pages\admin-scan.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\dev\tickets-new\pages\admin.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\dev\tickets-new\pages\monitoring-dashboard.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\dev\tickets-new\pages\reservation-status.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\dev\tickets-new\pages\reservation.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\dev\tickets-new\pages\seats.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\dev\tickets-new\pages\timeslot.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"c:\dev\tickets-new\pages\walkin.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 14, 333, -2, 31, 6, 68, 450